id,hotel_code,name,michelin_keys,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,worlds_50_best_rank,worlds_50_best_year
,hotel_371,Monaci delle Terre Nere,1,Zafferana Etnea,Italy,🇮🇹,"Via Pietralunga sn, 95019 Zafferana Etnea CT",37.673849,15.108152,ChIJE3IwbFn_ExMRhn8eoDWsPAM,,,,https://www.google.com/maps/place/?q=place_id:ChIJE3IwbFn_ExMRhn8eoDWsPAM,,
,hotel_372,Velona's Jungle Luxury Suites,1,Florence,Italy,🇮🇹,"Via Montebello 86, 50123 Firenze FI",43.776976,11.238547,ChIJu5sMWrBWKhMRCMZGeW0MS70,,,,https://www.google.com/maps/place/?q=place_id:ChIJu5sMWrBWKhMRCMZGeW0MS70,,
,hotel_373,Precise Tale Poggio Alla Sala,1,Montepulciano,Italy,🇮🇹,"Via Poggio alla Sala 10, 53045 Montepulciano SI",43.070257,11.877887,ChIJUebIyx5bKRMRooJdZk1ZG9A,,,,https://www.google.com/maps/place/?q=place_id:ChIJUebIyx5bKRMRooJdZk1ZG9A,,
,hotel_374,J.K. Place Roma,2,Rome,Italy,🇮🇹,"Via di Monte d'Oro 30, 00186 Roma RM",41.904444,12.476944,ChIJ0U1yt1ZgLxMR4ViurdnTKck,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0U1yt1ZgLxMR4ViurdnTKck,,
,hotel_375,Castelfalfi,2,Montaione,Italy,🇮🇹,"Località Castelfalfi, 50050 Montaione FI",43.549156,10.855961,ChIJb0Twcg8TKhMRe2UclPKUPWA,,,,https://www.google.com/maps/place/?q=place_id:ChIJb0Twcg8TKhMRe2UclPKUPWA,,
,hotel_376,Canne Bianche Lifestyle Hotel,1,Torre Canne di Fasano,Italy,🇮🇹,"Via Appia Antica 32, 72015 Torre Canne BR",40.830009,17.47577,ChIJux02XqFIRhMRIAxuYN5oumA,,,,https://www.google.com/maps/place/?q=place_id:ChIJux02XqFIRhMRIAxuYN5oumA,,
,hotel_377,Susafa,1,Polizzi Generosa,Italy,🇮🇹,"Contrada Susafa, 90028 Polizzi Generosa PA",37.721899,13.934342,ChIJPeXWjezJEBMRDMn0Uejr6cM,,,,https://www.google.com/maps/place/?q=place_id:ChIJPeXWjezJEBMRDMn0Uejr6cM,,
,hotel_378,Il Palazzo Experimental,1,Venice,Italy,🇮🇹,"Fondamenta Zattere al Ponte Lungo 1411, 30123 Venezia VE",45.430417,12.323084,ChIJ-9rq_VGxfkcR5Gg6DV-UFTE,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-9rq_VGxfkcR5Gg6DV-UFTE,,
,hotel_379,Hotel Metropole Venice,1,Venice,Italy,🇮🇹,"Riva degli Schiavoni 4149, 30122 Venezia VE",45.434068,12.345247,ChIJxdMEfyiufkcRdEk-l-Vo8IA,,,,https://www.google.com/maps/place/?q=place_id:ChIJxdMEfyiufkcRdEk-l-Vo8IA,,
,hotel_380,Corte della Maestà,2,Civita di Bagnoregio,Italy,🇮🇹,"Vicolo della Maestà, 01022 Civita VT",42.627835,12.113888,ChIJ75qXzXTTLhMRUiSJwZWY1Ho,,,,https://www.google.com/maps/place/?q=place_id:ChIJ75qXzXTTLhMRUiSJwZWY1Ho,,
,hotel_381,Sextantio Le Grotte della Civita,1,Matera,Italy,🇮🇹,"Via Civita 28, 75100 Matera MT",40.667636,16.61185,ChIJp2RcNd9-RxMR-tpBtmu5QO4,,,,https://www.google.com/maps/place/?q=place_id:ChIJp2RcNd9-RxMR-tpBtmu5QO4,,
,hotel_382,Palazzo Albricci Peregrini,1,Como,Italy,🇮🇹,"Via Giuseppe Rovelli 28, 22100 Como CO",45.808243,9.08359,ChIJPQYhn0qchkcRxwitWoveees,,,,https://www.google.com/maps/place/?q=place_id:ChIJPQYhn0qchkcRxwitWoveees,,
,hotel_383,Grand Hotel Minerva,1,Florence,Italy,🇮🇹,"Piazza di Santa Maria Novella 16, 50123 Firenze FI",43.773846,11.248967,ChIJWwbzcKlWKhMRoL77zQ8UN7Y,,,,https://www.google.com/maps/place/?q=place_id:ChIJWwbzcKlWKhMRoL77zQ8UN7Y,,
,hotel_384,Castel Monastero,1,Castelnuovo Berardenga,Italy,🇮🇹,"Località Monastero d'Ombrone 19, 53019 Castelnuovo Berardenga SI",43.350987,11.560174,ChIJo9U_yNHaKxMR5vbTEv5rt-w,,,,https://www.google.com/maps/place/?q=place_id:ChIJo9U_yNHaKxMR5vbTEv5rt-w,,
